sku,MYOB-code,MYOB-Item Name,Units On Hand,Total Value,Average Cost,Current Price
LPTCARD-1P,AC-4710747388601,SUNIX LPTCARD-1P,0,0,0,25
MULTIO-3P,AC-4710747388687,SUNIX MULTIO-3P,0,0,0,49
EC34-ECP1000,AC-4710747388946,SUNIX EC34-ECP1000 EXP. CARD,0,0,0,5
PCIE-SATA3EXT,AC-4710747389257,SUNIX PCIE-SATA3EXT SATA3 CARD,0,0,0,5
SUN-PAR5008R,AC-4710747389905,SUNIX SUN-PAR5008R 1 PORT CARD,2,94.6,47.3,5
T12,AC-4710891052922,GLACIALTECH GT12025HDL-A1,0,0,0,15
GS-FTB-3500C5-D,AC-4711148596244,GSK GS-FTB-3500C5-D RAM COOLER,0,0,0,5
21XT-BP4,AC-4712477310396,XIGMATEK 21XT-BP4,0,0,0,19
RAIL-A01-35,AC-4712511123982,QNAP RAIL-A01-35 FOR TS-x 2U,0,0,0,75
ME-751J,AC-4712511540376,WELLAND 5.25 SATA RACK ME-751J,10,190,19,39
ME-280J,AC-4712511540529,WELLAND ME-280J,0,0,0,95
ME-603S,AC-4712511540963,WELLAND TURBO LEOPARD ME-603S,1,31.5,31.5,15
ME-700E,AC-4712511541069,"WELLAND ME-700E 3.5"" IDE+SATA3",1,27.67,27.67,15
ME-951E,AC-4712511541175,WELLAND EZSTOR ME-951E SATA-US,0,0,0,399
AF0032,AC-4713157524423,THUNDERBLADE AF0032 120MM FAN,0,0,0,19
SUN-SER6437AL,AC-4713747080117,SUNIX SUN-SER6437AL PCIE 2PORT,1,50.4,50.4,15
NF-R8-1800,AC-4716123312413,NOCTUA NF-R8-1800 80MM FAN,0,0,0,5
NF-F12-PWM,AC-4716123314660,NOCTUA NF-F12-PWM FAN,0,0,0,19
NH-NM-I2011,AC-4716123314684,NH-NM-I2011 MOUTING BRACKET,2,11,5.5,19
NF-A4x10-FLX,AC-4716123314691,NOCTUA NF-A4x10-FLX FAN,3,49.8,16.6,19
NH-D14-SE2011,AC-4716123314714,NOCTUAL NH-D14-SE2011 PWN,0,0,0,5
NF-R8-PWM,AC-4716123314721,NOCTUA 80MM NF-R8-PWM FAN,0,0,0,5
NH-L9I,AC-4716123314875,NOCTUA NH-L9I COOLER,0,0,0,5
NF-S12A-PWM,AC-4716123314929,NOCTUA NF-S12A-PWM FAN,0,0,0,15
NH-U12S,AC-4716123314943,NOCTUA U12S CPU COOLER NH-U12S,0,0,0,5
NH-U14S,AC-4716123314950,NOCTUA NH-U14S CPU COOLER,0,0,0,5
NH-U12DXi4,AC-4716123314974,NOCTUA NH-U12DXi4 XEON COOLER,0,0,0,19
NF-A14-PWM,AC-4716123314981,NOCTUA NF-A14-PWM FAN,0,0,0,49
NA-SEC1,AC-4716123315179,NOCTUA NA-SEC1 4PIN EXT CABLE,0,0,0,15
NA-SYC1,AC-4716123315193,NOCTUA NA-SYC1 4 PIN Y-CABLE,1,5.4,5.4,5
NA-SYC2,AC-4716123315209,NOCTUA NA-SYC2 3PIN Y-CABLE,0,0,0,19
XONAR-U7,AC-4716659439516,ASUS XONAR-U7 D17.1 HEADPH AMP,0,0,0,399
GRYPHON-ARMOR-KIT,AC-4716659490760,ASUS GRYPHON-ARMOR-KIT,0,0,0,19
NFC-EXPRESS,AC-4716659521426,ASUS NFC-EXPRESS 2 P USB HUB,0,0,0,25
BFF-BLF-12025R-RP,AC-4716779440201,BFF-BLF-12025R-RP 120MM RD FAN,0,0,0,5
BFA-ACL-30BK15-RP,AC-4716779440454,BFA-ACL-30BK15-RP LED BLUE 30C,1,15.3,15.3,15
BFA-ACL-60BK30-RP,AC-4716779440461,BITFENIX BFA-ACL-60BK30-RP STR,0,0,0,19
BFA-ACL-30OK15-RP,AC-4716779440485,BFA-ACL-30OK15-RP LED STRIP,0,0,0,5
BFC-PRO-300-KRFXA-RP,AC-4716779443073,BFC-PRO-300-KRFXA-RP FRONT PAN,0,0,0,5
BFF-SPRO-P14025KK-RP,AC-4716779443103,BFF-SPRO-P14025KK-RP 140MM FAN,0,0,0,5
BFF-WPRO-12025R-RP,AC-4716779443608,BFF-WPRO-12025R-RP 12CM WH FAN,0,0,0,5
BFF-LPRO-12025B-RP,AC-4716779447477,BFF-LPRO-12025B-RP 120MM FAN,0,0,0,19
BFF-SPRO-20025KK-RP,AC-4716779447866,BFF-SPRO-20025KK-RP 20CM FAN,0,0,0,19
02VNST-216S3-BK,AC-4716872101948,"VANTEC 02VNST-216S3-BK TX2.5""",2,31.5,15.75,5
CL-W0222,AC-4717964390349,TT WATER 3.0 COLLER CL-W0222,1,84,84,5
CL-W0223,AC-4717964390356,TT WATER 3.0 PRO COOL CL-W0223,0,0,0,22
CL-F017-PL12RE-A,AC-4717964394774,TT CL-F017-PL12RE-A 120MM FAN,1,15,15,45
LL-OH-01,AC-4718466000040,LIAN LI LL-OH-01 SCREW THUMB,0,0,0,99
LL-W-LM2AB-2,AC-4718466000521,LIANLI LL-W-LM2AB-2 SIDE PANEL,0,0,0,5
LL-PCI-01B,AC-4718466001009,LIAN LI LL-PCI-01B PCIHOLDER,0,0,0,22
LL-PW-IN20AV65TO,AC-4718466004468,LIAN LI LL-PW-IN20AV65TO USB3,1,25,25,5
LL-OF-01,AC-4718466200365,LL-OF-01 SCREW ANTI-VIBRA4FAN,0,0,0,195
LL-CR-35B,AC-4718466203519,LIANLI LL-CR-35B CARD READER,0,0,0,5
LL-BS-08B,AC-4718466950819,LIAN LI LL-BS-08B GC COOLONG,0,0,0,99
CE-604,AC-4719264640025,ATEN  CE-604 DV IKVM EXTENDER,0,0,0,399
ACCOR4LUS07AB,AC-4719512014462,CM ACCOR4LUS07AB 20CM BLUE,0,0,0,25
ACCORR212X20PM,AC-4719512039526,CM HYPER ACCORR212X20PM COOLER,0,0,0,129
63200(MP4HD),AC-5707119006125,STEEL 63200(MP4HD) MOUSE PAD,1,0,0,19
SDSDU-032G-UQ46,AC-619659079567,SANDS SDSDU-032G-UQ46 32GB C10,4,106.4,26.6,5
SDSDU-064G-UQ46,AC-619659079574,SANDISK SDSDU-064G-UQ46 64GB,1,53.49,53.49,29
SDCZ51-008G-BQ35,AC-619659080051,SANDISK SDCZ51-008G-BQ35 SDH/C,8,34.26,4.28,15
SDCZ51-016G-BQ35,AC-619659080068,SANDISK SDCZ51-016G-BQ35,31,228.81,7.38,15
SDCZ51-032G-BQ35,AC-619659080075,SANDISK 32GB SDCZ51-032G-BQ35,25,281.89,11.28,15
SDCZ71-008G-BQ35,AC-619659091842,SANDS SDCZ71-008G-BQ35 CRUZER,0,0,0,15
SDCZ71-032G-BQ35,AC-619659091866,SANDS SDCZ71-032G-BQ35 32GB,0,0,0,15
SDSDQX-064G-UQ46A,AC-619659095987,SANDS SDSDQX-064G-UQ46A MSDXC,2,200,100,19
SDCZ51-064G-BQ35,AC-619659098056,SANDS SDCZ51-064G-BQ35 CRUZER,2,46.52,23.26,5
SDSDXS-016G-XQ46,AC-619659101428,SANDS SDSDXS-016G-XQ46 SDHC,0,0,0,399
SDSDXS-032G-XQ46,AC-619659101633,SANDS SDSDXS-032G-XQ46 SDHC,0,0,0,19
SDCFXPS-016G-XQ46,AC-619659103248,SANDS SDCFXPS-016G-XQ46 CF 16G,0,0,0,399
SDCFXS-032G-XQ46,AC-619659103743,SANDS SDCFXS-032G-XQ46 32GB CF,0,0,0,399
SDCFXS-064G-XQ46,AC-619659103842,SANDS SDCFXS-064G-XQ46 64GB CF,0,0,0,5
SDCFXS-128G-XQ46,AC-619659103903,SANDS SDCFXS-128G-XQ46 FLASH,0,0,0,19
SDCZ48-016G-UQ46,AC-619659104481,SAMDS SDCZ48-016G-UQ46 USB3,1,12.66,12.66,65
SDCZ48-032G-UQ46,AC-619659104498,SANDS SDCZ48-032G-UQ46 USB3.0,2,51.04,25.52,15
SDCZ48-064G-UQ46,AC-619659104504,SANDS SDCZ48-064G-UQ46 USB3.0,0,0,0,5
SDSDXPA-064G-Q46,AC-619659105020,SANDS SDSDXPA-064G-Q46 EXTREME,0,0,0,5
SDCZ80-016G-Q46,AC-619659105266,SANDS SDCZ80-016G-Q46 EXTREME,2,31.94,15.97,5
SDCZ80-032G-Q46,AC-619659105273,SANDS SDCZ80-032G-Q46 32GB EXT,0,0,0,5
SDCZ80-064G-Q46,AC-619659105280,SANDS SDCZ80-064G-Q46 EXTREME,2,93.02,46.51,19
SDSDQXL-064G-Q46A,AC-619659110901,SANDS SDSDQXL-064G-Q46A MSDC,0,0,0,5
SDSDQUA-128G-Q46A,AC-619659112752,SANDS SDSDQUA-128G-Q46A SD MIC,0,0,0,19
SDWS2-016G-Q57,AC-619659114770,SANDISK SDWS2-016G-Q57 W/L DRI,21,420,20,5
SDCZ43-016G-Q46,AC-619659115470,SANDS SDCZ43-016G-Q46 16G USB3,1,9,9,399
SDCZ43-032G-Q46,AC-619659115487,SANDS SDCZ43-032G-Q46 FLASH,5,90,18,5
SDCZ43-064G-Q46,AC-619659115494,SANDS SDCZ43-064G-Q46 ULTRA,0,0,0,5
GUC232A-01,AC-672792550065,IOGEAR GUC232A-01 USB2 TO DB9,1,27.65,27.65,5
DP-FDC-XF120,AC-6933412703624,DEEPCOOL DP-FDC-XF120 120MM,2,5.8,2.9,19
DP-FLED-XF120LR,AC-6933412704492,DEEPCOOL DP-FLED-XF120LR XFAN,2,9.2,4.6,399
DP-MCH4-GMX400,AC-6933412708131,DEEPCOOL DP-MCH4-GMX400 COOLER,0,0,0,399
DP-MCAL-GA,AC-6933412708483,DP-MCAL-GA GAMMA ARCHER COOLER,0,0,0,399
TL-UC100,AC-6935364031107,TPLINK TL-UC100,0,0,0,19
TL-ANT2405C,AC-6935364052010,TP-LINK TL-ANT2405C ANTENNA,0,0,0,5
TL-ANT2408CL,AC-6935364052195,TPLINK TL-ANT2408CL ANTENNA,0,0,0,15
6518US3,AC-6954301101666,ORICO 6518US3-BK USB3 DOCKING,1,25,25,19
6619US3,AC-6954301101727,ORICO 6619US3-BK HDD DOCKING,4,84.67,21.17,399
8619US3-BK,AC-6954301101765,ORICO 8619US3-BK HDD DOCKING,0,0,0,19
1105SS,AC-6954301103424,ORICO 1105SS-BK MOBILE RACK,1,17,17,19
3529SUS3-C,AC-6954301103868,ORICO 3529SUS3-C-BK 2BAY CASE,1,79,79,399
PVU3-4P,AC-6954301105008,AORICO PVU3-4P USB3 PCI-E CARD,1,20,20,5
PVU3-2O2I,AC-6954301105329,ORICO PVU3-2O2I 4P EXP CARD,1,20,20,19
PVU3-5O2U,AC-6954301105343,ORICO PVU3-5O2U 5 P+2P PCI-E,1,33,33,19
PCI25-1S,AC-6954301105350,"ORICO PCI25-1S 1BAY 2.5"" FRAME",4,32,8,19
UTR-U3,AC-6954301121787,ORICO UTR-U3-BK LAN ADAPTER,8,160,20,19
DU3H-BK,AC-6954301125372,ORICO DU3H-BK USB3.0-HDMI EXT.,2,96,48,19
DU3V,AC-6954301125686,ORICO DU3V-BK USB-VGA EXTERNA,1,44,44,399
DU3D-BK,AC-6954301125709,ORICO DU3D-BK USB3-DVI EXT.ADA,5,267.5,53.5,399
DCP-5U-BK,AC-6954301125785,ORICO DCP-5U-BK 5P USB 5V7.2A,4,80,20,19
CTU33,AC-6954301125822,ORICO CTU33-BK MINI USB3.0 SDH,1,7,7,399
OPC-2A4U-BK,AC-6954301126775,ORICO OPC-2A4U-BK 4P CHARGER,1,26,26,19
MPU-5S-BK,AC-6954301126928,ORICO MPU-5S-BK 5P CAR CHARGER,1,20,20,399
1106SS,AC-6954301150497,ORICO 1106SS-BK MOBILE RACK,2,29,14.5,19
9528U3-BK,AC-6954301150985,"ORICO 9528U3-BK 2BAY 3.5"" USB3",1,71,71,19
3588US3,AC-6954301151173,ORICO 3588US3-BK HDD ENCLOSURE,2,44,22,19
9548U3-BK,AC-6954301151418,ORICO 9548U3-BK 4 BAY HDD EN.,3,420,140,19
9548RU3-BK,AC-6954301151432,"ORICO 9548RU3-BK 4BAY 3.5""RAID",1,170,170,399
9558RU3-SV,AC-6954301151487,ORICO 9558RU3-SV 5BAY HDD/TRAY,1,87,87,19
2599US3-BK,AC-6954301151692,ORICO 2599US3-BK HDD ENCLOSURE,0,0,0,19
A3H7-SV,AC-6954301160113,ORICO A3H7-SV 7PORT HUB 12V/2.,0,0,0,19
A3H10-BK,AC-6954301160120,ORICO A3H10-BK 10P HUB 12V/3A,1,54,54,19
M3H7-SV,AC-6954301160588,ORICO M3H7-SV 7PORT HUB,2,88,44,19
W9PH4-U3-BK,AC-6954301160977,ORICO W9PH4-U3-BK 4PORTS HUB,4,72,18,5
W5PH4-U3-BK,AC-6954301161356,ORICO W5PH4-U3-BK 4P  USB3 HUB,14,154,11,5
HR01-U3-BK,AC-6954301161370,ORICO HR01-U3-BK 3P USB3.0 HUB,0,0,0,5
U3BCH4-BK,AC-6954301161424,ORICO U3BCH4-BK  4PORT HUB,1,23,23,5
U3BCH7-BK,AC-6954301161448,ORICO U3BCH7-BK 7 PORT ADAPTER,8,288,36,19
U3BCH7-SV,AC-6954301161455,ORICO U3BCH7-SV 7P 12V/2.5A AD,2,70,35,19
H73-SV,AC-6954301161479,ORICO H73-SV 7PORTS USB3 HUB,1,48,48,19
U3R1H4-BK,AC-6954301161493,ORICO U3R1H4-BK 4PORTS HUB,1,17,17,19
HF9US-2P-BK,AC-6954301161653,ORICO HF9US-2P-BK 9P USB2 HUB,4,88,22,399
H10C1-U3-BK,AC-6954301161660,ORICO H10C1-U3-BK 10PORT HUB,3,144,48,5
H3TS-U3-BK,AC-6954301161707,ORICO H3TS-U3-BK USB HUB+READ,5,110,22,399
SDC10/16GB,AC-740617163292,KST SDC10/16GB MICRO SDHC C1,3,25.45,8.48,399
DT101G2/8GB,AC-740617169836,KST DT101G2/8GB,0,0,0,10.55
SDCX10/64GB,AC-740617208108,KINGSTON SDCX10/64GB MICRO SDC,2,89.25,44.63,10.55
DT100G3/8GB,AC-740617211689,KINGS DT100G3/8GB USB3.0,1,6.5,6.5,19
SDA10/64GB,AC-740617216233,"KINGS SDA10/64GB, UHS-1 SDHC",0,0,0,5
DTM30/16GB,AC-740617222920,KINGS DTM30/16GB DATA TRAVELER,5,55,11,19
DTM30/32GB,AC-740617222982,KINGS DTM30/32GB MINI USB3.0,8,145,18.13,15
DTDUO/16GB,AC-740617229189,KINGS DTDUO/16GB MICRODUO USB,1,11.5,11.5,399
PA100-AU,AC-745883570898,CISCO PA100-AU POWER ADAPTER,0,0,0,399
TS16GJF760,AC-760557820604,TRANSCEND TS16GJF760 16GB USB3,2,30,15,35
TS32GJF760,AC-760557820611,TRANS TS32GJF760 32GB USB3 FD,0,0,0,15
TS32GUSDHC10,AC-760557822271,TRANS 32GB SDH TS32GUSDHC10,0,0,0,109
TS64GJF760,AC-760557824121,TRANS TS64GJF760 64GB USB3 FD,0,0,0,5
TS32GJF780,AC-760557824695,TRANS TS32GJF780 USB3 FLASH DR,0,0,0,15
TS64GUSDU1,AC-760557825722,TRANS TS64GUSDU1 UHS-I 64GB,0,0,0,5
TS64GSDU1,AC-760557826491,TANS TS64GSDU1 64GB SDXC UHS-1,0,0,0,15
AAR1220SA,AC-760884153451,ADAPTEC AAR1220SA PCIE RAID,0,0,0,79.66
AAR1220SA-SGL,AC-760884155424,ADAPTEC AAR1220SA-SGL,3,167.5,55.83,75
ASAR7805KIT,AC-760884156728,"ASAR7805KIT HRAID0, 8INT PORT",0,0,0,5
09T-SDHC32GCL10,AC-765441411999,TEAM 09T-SDHC32GCL10 32GB SDHC,2,32.4,16.2,5
09T-CF16G133X,AC-765441415836,TEAM 09T-CF16G133X 16G CF CARD,0,0,0,19
09T-MCSDHC4GB,AC-765441419681,TEAM 09T-MCSDHC4GB,0,0,0,15
08T-COL8GB,AC-765441444607,"TEAM 08T-COL8GB, USB2.0 DRIVE",0,0,0,5
GN-030102,AC-811127012001,GN-030102 GUNNAR CASE BLK,0,0,0,19
GN-ST002-C012z,AC-811127012537,GUNNAR GN-ST002-C012Z EYEWEAR,0,0,0,5
GN-ANI-00101z,AC-811127013046,ANIME ONYX LENS GN-ANI-00101Z,0,0,0,15
GN-DES-05101z,AC-811127014005,GN-DES-05101Z GUNNAR  EYEWEAR,0,0,0,19
GN-RPG-05401z,AC-811127014333,GUNNAR GN-RPG-05401Z EYEWEAR,0,0,0,5
GN-VAY-00101z,AC-811127014371,GN-VAY-00101Z VAYPER ONYX Z,0,0,0,5
GN-HAU-00103z,AC-811127015101,GN-HAU-00103Z HAUS ONYX CRYSTA,0,0,0,19
GN-VIN-00105z,AC-811127015385,GUNNAR SUNGLASS GN-VIN-00105Z,0,0,0,5
GN-INT-00101z,AC-811127015859,GUNNAR GN-INT-00101Z GLASS,0,0,0,399
GN-INT-06601z,AC-811127017105,GUNNAR GN-INT-06601Z GHOST Z,0,0,0,5
LL-PCI-01A,AC-840353001756,LIANLI LL-PCI-01A,0,0,0,19
CC800D-USB3KIT,AC-843591010993,CORSAIR CC800D-USB3KIT,0,0,0,5
CAS-AF120-QE-WLED,AC-843591043830,CORSAIR CAS-AF120-QE-WLED FAN,0,0,0,5
02VCB-ISATAU2,AC-844767003641,VANTEC 02VCB-ISATAU2 USB2 ADA,0,0,0,19
02VCB-ISA100-U3,AC-844767014906,VANTEC 02VCB-ISA100-U3 USB3 AD,6,142.53,23.76,19
AC-F8-PRO,AC-872767002333,ARCTIC COOLING AC-F8-PRO,0,0,0,19
AC-F8-PRO-TC,AC-872767002395,ARCTIC AC-F8-PRO-TC COOL FAN,0,0,0,5
AC-FRZER-7PRO-Rev2,AC-872767002494,AC AC-FRZER-7PRO-REV2,0,0,0,49
AC-F9-PWM,AC-872767002647,AC AC-F9-PWM,0,0,0,19
AC-F12-PWM,AC-872767002654,AC AC-F12-PWM,0,0,0,15
AC-F9-TC,AC-872767002678,ARCTIC COOLING AC-F9-TC FAN,0,0,0,15
AC-F12-TC,AC-872767002685,ARCTIC COOLING AC-F12-TC FAN,0,0,0,5
AC-FRZER-I30,AC-872767006140,ARCTIC CPU COOLER AC-FRZER-I30,0,0,0,5
MB-MP16DA/APC,AC-8806086077873,SAM MB-MP16DA/APC SDHC 16GB,0,0,0,5
MB-MP32DA/APC,AC-8806086077880,SAM MB-MP32DA/APC 32GB EVO,1,21,21,19
MB-MG32DA/APC,AC-8806086077927,SAM MB-MG32DA/APC MICRO 32GB,1,38.1,38.1,399
MB-MG64DA/APC,AC-8806086077934,SAM MB-MG64DA/APC M-SDXC 64G,0,0,0,5
EF-CN910BREGWW,AC-8806086373630,SAM EF-CN910BREGWW ELEC COVER,0,0,0,15
EB-KN910BWEGWW,AC-8806086428910,SAM EB-KN910BWEGWW BATT KIT,3,85.5,28.5,399
EP-VN910IWEGWW,AC-8806086447355,SAM EP-VN910IWEGWW W/L COVER,0,0,0,399
TG1,AC-8809213761058,ZALMAN ZM-STG1,0,0,0,9.12
GUCE51-01,AC-881317006622,IOGEAR GUCE51-01 USB EXTENDER-,0,0,0,5
AIR-PWRINJ4=,AC-882658113505,CISCO AIR-PWRINJ4= AIRONET PS,0,0,0,179
ACS-1900-RM-19,AC-882658343186,CISCO ACS-1900-RM-19 RACK MOUN,0,0,0,25
SPA112,AC-882658434167,CISCO SPA1122 2PORT PHONE ADAP,0,0,0,399
CC640WA,AC-884420904229,VIVERA HP INK CC640WA,0,0,0,369
JR9-00012(WLXBOXCTR),AC-885370239430,MS JR9-00012(WLXBOXCTR) XBOX 3,12,348.18,29.02,5
7MN-00003(XB1WIREDC),AC-885370872149,MS 7MN-00003(XB1WIREDC) PC CTR,15,682.5,45.5,5
RZ-SPHEX,AC-8886419315339,RZ-SPHEX SPHEX GAME MOUSE MAT,1,11.5,11.5,399
RZ-GOLIA-SP-AL-2013,AC-8886419317036,RZ-GOLIA-SP-AL-2013 MOUSE MAT,2,28.67,14.34,19
RZ-DEATHADDER-2013,AC-8886419331186,RZ-DEATHADDER-2013 ERGONOMIC M,0,0,0,0
RZ-SABERTOOTH,AC-8886419350279,RZ-SABERTOOTH-XBOX CONTROLLER,0,0,0,5
ACNZCBLED10RD,AC-895562002773,NZXT ACNZCBLED10RD 100CM LED,0,0,0,15
MDP-DVI-ACTV,AC-9319861537480,ALOGIC 15CM MDP-DVI-ACTV M-F,1,32.8,32.8,25
USB3SIC,AC-9319863490127,ALOGIC USB3SIC USB3- IDE+SATA,0,0,0,15
HDMI-MICRO-ADP,AC-9319865964954,ALOGIC HDMI-MICRO-ADP MF,4,13.6,3.4,19
DP-HDMI-ADP,AC-9319866024459,ALOGIC 15CM DP-HDMI-ADP M-F,17,122.57,7.21,5
HDMI-DVI-MF,AC-9319866027665,ALOGIC HDMI-DVI-MF ADAPTER,0,0,0,5
MDP-VGA-AIC,AC-9319866027832,ALOGIC 15CM MDP-VGA-AIC M-F,40,678.96,16.97,19
USB2-MCAB-ADP,AC-9319866043535,30CM USB2-MCAB-ADP MICRO-AF AD,6,8.55,1.43,19
DP-DVI-ADP,AC-9319866056825,ALOGIC 15CM DP-DVI-ADP M-F,0,0,0,19
DP-VGA-ADP,AC-9319866056856,ALOGIC 15CM DP-VGA-ADP M-F,10,143.6,14.36,5
HDMI-MINI-ADP,AC-9319866058287,ALOGIC HDMI-MINI-ADP M-F,11,37.42,3.4,15
VGA-MFF-SPL,AC-9319866063922,ALOGIC VGA-MFF-SPL HD15 M-F+F,0,0,0,65
HDMI-DVI-15MF,AC-9319866078056,ALOGIC HDMI-DVI-15MF 15CM MF,0,0,0,5
